Area,DC1117EW_C_SEX,DC1117EW_C_AGE,NewEthpop_ETH
E02001708,1,40,WBI
E02001722,1,55,WBI
E02001736,1,22,OTH
E02001727,2,22,WBI
E02001735,2,8,WBI
E02001713,2,30,WBI
E02001720,2,22,WHO
E02001720,1,21,WBI
E02001731,1,30,WBI
E02001710,1,38,WBI
E02001713,1,36,WBI
E02001733,1,14,BLA
E02001724,1,30,WBI
E02001731,2,23,WBI
E02001734,1,63,WBI
E02001724,2,72,WBI
E02001730,1,22,WBI
E02001714,1,28,WBI
E02001708,2,46,WBI
E02001708,1,17,WHO
E02001708,1,37,WBI
E02001737,2,79,WBI
E02001720,2,22,WBI
E02001734,2,49,WHO
E02001708,2,38,WBI
E02001710,2,3,WBI
E02001720,1,34,WBI
E02001721,2,44,WBI
E02001729,2,60,BLA
E02001713,2,45,WBI
E02006893,1,86,WHO
E02001729,2,32,WBI
E02001730,1,49,CHI
E02001728,1,57,WBI
E02001733,2,63,WHO
E02001718,2,65,CHI
E02001731,1,30,WBI
E02001736,1,7,CHI
E02001730,2,22,WBI
E02001736,2,5,WBI
E02001721,1,12,WBI
E02001731,2,36,WBI
E02001709,2,35,WBI
E02001737,1,25,WBI
E02001714,2,48,WBI
E02001733,2,13,WBI
E02001730,1,27,WBI
E02001727,1,2,WBI
E02001724,1,11,MIX
E02001722,1,63,WBI
E02001718,1,43,WBI
E02001732,1,13,WBI
E02001714,2,27,WBI
E02001715,2,81,WBI
E02001711,2,70,WBI
E02001734,2,11,WHO
E02001723,2,59,WBI
E02001737,2,72,CHI
E02001713,2,86,WBI
E02001725,2,38,WBI
E02001714,2,20,WBI
E02001735,2,29,WBI
E02001725,2,22,WHO
E02001720,2,20,WBI
E02001732,1,23,WBI
E02001724,1,24,WBI
E02001730,1,35,WBI
E02001736,2,37,WBI
E02001736,2,33,BLA
E02001730,2,20,WHO
E02001724,2,21,WBI
E02001711,1,74,WBI
E02006893,1,60,WBI
E02001719,1,59,WBI
E02001715,1,14,WBI
E02001719,1,43,WBI
E02001731,1,26,OAS
E02001731,1,55,WHO
E02001714,1,15,IND
E02001726,1,23,WBI
E02001715,2,10,WBI
E02001733,2,9,WBI
E02001714,2,8,WBI
E02001727,1,41,WBI
E02001727,1,42,WBI
E02001736,1,4,WBI
E02001726,1,47,WBI
E02001718,2,6,WBI
E02001736,2,25,MIX
E02001724,2,21,WBI
E02001724,2,49,WBI
E02001710,2,6,WBI
E02006893,2,48,WBI
E02001729,2,23,BLA
E02001718,1,66,WBI
E02001712,1,27,WBI
E02001731,2,56,BLA
E02001719,1,55,WBI
E02001730,1,28,WBI
E02001730,2,32,WBI
E02001726,1,50,WBI
E02001709,2,8,WBI
E02001724,1,24,WBI
E02001709,1,47,WBI
E02001731,1,49,WBI
E02001732,2,35,WBI
E02001736,2,44,BAN
E02001708,1,25,WBI
E02001720,1,47,WBI
E02001708,1,42,WBI
E02001737,1,9,WBI
E02001735,1,5,WBI
E02001737,1,59,WBI
E02006893,1,28,WBI
E02001723,2,1,PAK
E02001722,2,85,WBI
E02001731,1,23,WHO
E02001734,1,23,BAN
E02001723,1,28,WBI
E02001727,2,52,WBI
E02001726,1,27,PAK
E02001720,2,19,WBI
E02001720,1,21,WBI
E02001736,1,66,PAK
E02001709,2,30,BLA
E02001715,2,23,WBI
E02001731,2,21,CHI
E02001728,2,9,WBI
E02001714,2,46,WBI
E02001727,1,77,WBI
E02001709,2,19,WBI
E02001733,1,50,WBI
E02001720,1,69,WBI
E02001737,1,68,WBI
E02001724,2,21,PAK
E02001711,2,38,WBI
E02001711,2,8,WBI
E02001711,1,71,WBI
E02001735,1,53,WBI
E02001729,1,36,OAS
E02001714,1,59,WBI
E02001734,2,24,WBI
E02001711,1,40,WBI
E02001713,2,43,WBI
E02001709,1,68,WBI
E02001725,1,9,WBI
E02001730,2,24,WBI
E02001732,1,56,WBI
E02001736,1,39,WBI
E02001709,2,53,WBI
E02001736,1,7,WBI
E02001737,2,49,WBI
E02001728,2,2,WBI
E02001712,2,72,WBI
E02001719,1,24,WBI
E02001720,2,21,WBI
E02001734,2,34,WBI
E02001729,2,35,PAK
E02001733,1,2,WBI
E02001711,2,9,WBI
E02001734,1,59,WBI
E02001726,1,25,IND
E02001731,1,20,WBI
E02001718,2,31,WHO
E02001709,2,74,WBI
E02006893,2,72,WBI
E02001711,2,34,WBI
E02001709,1,36,WBI
E02001722,1,66,WBI
E02001725,1,22,WBI
E02001725,2,53,WBI
E02001709,1,25,IND
E02001709,1,3,WBI
E02001708,2,4,WBI
E02001724,1,23,WBI
E02001725,2,86,WBI
E02001713,2,52,WBI
E02001731,1,27,WBI
E02001722,1,52,WBI
E02001713,1,41,WBI
E02001727,2,83,WBI
E02001735,1,10,WBI
E02001720,2,65,WBI
E02001719,1,22,WBI
E02001708,2,50,WBI
E02001713,1,2,WBI
E02001711,2,11,WHO
E02001732,2,67,WBI
E02001715,2,13,BLA
E02001722,2,4,WBI
E02001722,1,76,WBI
E02001722,1,41,WBI
E02001723,2,49,WBI
E02001727,1,67,WBI
E02006893,1,57,WBI
E02001712,2,30,WBI
E02001710,1,4,WBI
E02001731,1,35,WBI
E02001709,2,59,WBI
E02001726,2,86,WBI
E02001719,2,23,PAK
E02001725,2,16,WBI
E02001714,2,24,WBI
E02001733,2,31,WBI
E02001729,2,39,WBI
E02001733,1,4,WBI
E02001713,1,77,WBI
E02006893,1,65,WBI
E02001712,2,1,WBI
E02001736,1,6,WBI
E02001723,2,26,IND
E02001733,2,48,WBI
E02001736,1,6,WHO
E02001714,2,61,WBI
E02001733,1,46,BLA
E02001709,2,42,WBI
E02001723,1,22,MIX
E02001708,2,57,IND
E02001729,1,28,WBI
E02001714,2,20,WBI
E02001714,1,19,WBI
E02001723,2,20,WBI
E02001709,2,41,WBI
E02001719,2,65,WBI
E02001728,1,11,WBI
E02001715,1,22,WBI
E02001715,2,59,WBI
E02001711,2,75,WBI
E02001734,2,33,WBI
E02001734,1,53,WBI
E02006893,1,65,WBI
E02001720,1,23,WBI
E02001733,1,39,WBI
E02001726,1,49,WBI
E02001713,1,54,WBI
E02001737,2,30,WBI
E02001736,2,45,PAK
E02001709,1,52,IND
E02001729,2,31,WBI
E02006893,2,51,WBI
E02001732,2,4,WBI
E02001725,2,77,WBI
E02001726,2,64,WBI
E02001730,1,24,WBI
E02001713,2,3,WBI
E02001724,2,25,WBI
E02001714,2,70,PAK
E02001714,2,61,CHI
E02001714,1,19,WBI
E02001719,1,45,WBI
E02001727,1,38,WBI
E02001725,2,28,IND
E02001710,2,56,WBI
E02001726,2,33,WBI
E02001730,1,22,WBI
E02001722,1,50,WBI
E02001720,2,21,WBI
E02001715,2,3,OBL
E02001724,2,24,WBI
E02001708,2,4,MIX
E02001723,2,81,WBI
E02001731,1,26,WBI
E02001708,2,17,WHO
E02001725,2,28,WBI
E02001731,2,26,WBI
E02001713,2,33,WBI
E02001710,2,64,WBI
E02001728,1,10,WBI
E02001725,1,25,WHO
E02001708,2,65,WBI
E02001731,1,24,WHO
E02001724,2,37,WBI
E02001713,2,59,WBI
E02001713,2,48,WBI
E02001713,2,43,WBI
E02001708,2,4,WBI
E02001711,1,59,WBI
E02001726,1,46,WBI
E02001724,2,24,WHO
E02001735,2,15,WBI
E02001721,2,17,WBI
E02001726,1,46,WBI
E02001737,1,28,BLA
E02001733,1,26,CHI
E02001725,2,70,WBI
E02001718,2,77,WBI
E02001735,2,60,WBI
E02001713,2,3,WBI
E02001725,2,28,WHO
E02001724,1,58,WBI
E02001708,1,35,WBI
E02001710,2,45,WBI
E02001734,2,8,WHO
E02001730,1,21,WBI
E02001731,2,21,MIX
E02001715,1,86,WBI
E02001731,2,19,OTH
E02001719,2,38,WBI
E02001720,1,27,WBI
E02001715,1,33,WBI
E02001714,2,28,WBI
E02001735,2,40,WBI
E02001712,2,11,WBI
E02001733,1,26,WBI
E02001713,2,62,WBI
E02001725,1,55,WHO
E02001708,1,7,WBI
E02001733,1,35,WBI
E02001719,2,25,WBI
E02006893,2,65,WBI
E02001735,2,11,WBI
E02001719,1,37,WBI
E02001726,2,51,PAK
E02006893,2,34,WBI
E02001708,2,72,WBI
E02001720,2,72,WBI
E02001712,1,32,WBI
E02001736,2,3,WBI
E02001711,2,52,WBI
E02001710,2,13,WBI
E02001730,1,23,WBI
E02001736,1,24,WBI
E02001710,2,32,WBI
E02001715,2,36,WBI
E02001714,1,4,WBI
E02001711,1,14,WBI
E02001730,1,68,BLA
E02001714,2,74,WBI
E02001727,2,39,WBI
E02001724,1,34,WBI
E02001735,2,36,WBI
E02001719,1,10,WBI
E02001722,2,73,WBI
E02001734,2,36,OAS
E02001718,2,75,WBI
E02001708,1,2,WBI
E02001709,1,31,WBI
E02001731,2,22,WBI
E02001733,1,7,WBI
E02001728,1,65,WBI
E02001722,2,48,WBI
E02001722,2,51,WBI
E02001734,2,68,WBI
E02001721,1,72,WBI
E02001732,2,20,WBI
E02001712,1,86,WBI
E02001734,1,86,WBI
E02001714,1,1,WBI
E02001731,2,23,CHI
E02001710,1,24,WBI
E02006893,1,79,WBI
E02001728,1,42,WBI
E02001710,1,13,OTH
E02001718,2,67,WBI
E02001729,2,58,PAK
E02001732,2,35,WBI
E02001736,2,45,BAN
E02001736,1,5,BAN
E02001733,2,74,WBI
E02001708,2,55,WBI
E02001734,1,80,WBI
E02001732,1,56,WBI
E02001710,1,68,WBI
E02001733,2,25,WBI
E02001712,2,59,WBI
E02001722,1,34,WBI
E02001709,2,58,WBI
E02001722,2,43,WBI
E02001715,1,62,WBI
E02001731,2,1,OAS
E02001711,1,39,WBI
E02001726,2,35,WBI
E02001712,2,31,WBI
E02001727,2,32,WBI
E02001730,2,11,WBI
E02001733,1,20,WBI
E02001720,1,32,WBI
E02001733,2,51,WBI
E02001730,1,22,WBI
E02001722,2,82,WBI
E02001712,2,26,WBI
E02001709,2,54,WBI
E02001710,1,10,WBI
E02001730,1,54,WBI
E02001708,2,7,WBI
E02001727,1,72,WBI
E02001724,1,26,WBI
E02001714,2,77,WBI
E02001729,1,16,WBI
E02001727,1,77,WBI
E02001714,1,25,WBI
E02001730,2,25,WBI
E02001724,2,24,WBI
E02001726,1,37,WBI
E02001725,2,22,WBI
E02001736,1,6,BLA
E02001730,1,17,WBI
E02001712,2,29,WBI
E02006893,1,58,WBI
E02001731,1,42,WBI
E02001724,1,20,WBI
E02001722,2,46,WBI
E02001730,2,34,WBI
E02001732,2,26,WBI
E02001712,1,19,WBI
E02001726,2,19,MIX
E02001730,1,21,WBI
E02001714,2,78,IND
E02001719,1,11,IND
E02001724,1,21,WBI
E02001719,1,8,WBI
E02001721,1,49,WBI
E02001721,2,21,WBI
E02001728,2,40,WBI
E02001714,1,79,WBI
E02001730,2,20,WBI
E02001715,2,42,WBI
E02001723,1,85,PAK
E02001723,2,81,WBI
E02001722,2,19,WBI
E02001736,1,12,OTH
E02001709,2,50,WBI
E02001731,2,21,WBI
E02001731,1,20,WBI
E02001712,2,5,WBI
E02001718,1,57,WBI
E02001712,1,58,PAK
E02001731,1,58,OTH
E02001727,2,49,WBI
E02001720,1,23,WBI
E02001709,2,86,WBI
E02001736,1,1,BAN
E02001731,2,20,BLA
E02001724,2,70,WBI
E02001713,2,32,WBI
E02001714,1,6,BAN
E02001709,2,12,PAK
E02001710,1,58,WBI
E02001720,2,29,WBI
E02001718,1,75,WBI
E02001709,1,31,WBI
E02001727,2,23,WBI
E02001708,2,66,WBI
E02001718,1,21,WBI
E02006893,2,47,WBI
E02001711,1,86,WBI
E02001719,2,59,WBI
E02001731,1,23,OAS
E02001720,2,22,WBI
E02001714,1,85,WBI
E02001714,1,29,WBI
E02001722,2,40,WBI
E02001710,1,14,WBI
E02001735,2,19,WBI
E02001710,2,38,WBI
E02001708,1,72,WBI
E02001727,2,32,WBI
E02001718,2,65,WBI
E02001726,2,7,WBI
E02001734,2,63,OTH
E02001734,2,33,WBI
E02001709,2,75,WBI
E02001709,1,14,WBI
E02001731,1,72,WHO
E02001728,1,15,WBI
E02001715,1,65,WBI
E02001734,1,22,WBI
E02001726,2,40,WBI
E02001735,1,57,WBI
E02001737,2,46,WBI
E02001725,1,68,WBI
E02001722,1,58,WBI
E02001736,1,4,BAN
E02001724,1,27,CHI
E02001736,2,21,WBI
E02001730,2,74,PAK
E02001734,2,34,WBI
E02001736,1,83,WBI
E02001734,2,19,WBI
E02001709,2,71,WBI
E02001737,1,72,BLA
E02001714,2,54,WBI
E02001735,1,6,WBI
E02001728,2,43,WBI
E02001720,2,24,WBI
E02001729,2,45,WBI
E02001724,2,28,WBI
E02001712,2,2,WBI
E02001727,1,24,WBI
E02001728,1,4,WBI
E02001726,2,65,WBI
E02001713,2,71,WBI
E02001735,1,59,WBI
E02001710,2,52,WBI
E02001734,1,41,WBI
E02001728,2,54,WBI
E02001737,1,70,BLA
E02001730,2,7,MIX
E02001712,1,26,WBI
E02001736,1,35,WBI
E02001736,1,70,WBI
E02001719,2,20,WBI
E02006893,1,27,WBI
E02001726,2,58,WBI
E02001721,2,21,MIX
E02001735,2,53,MIX
E02001718,1,40,WBI
E02001726,1,48,WBI
E02001722,2,54,WBI
E02001721,2,46,WBI
E02001715,2,31,WBI
E02001709,2,86,WBI
E02001733,2,26,WBI
E02001731,1,28,OTH
E02001723,1,23,WBI
E02001719,1,55,WBI
E02001727,1,24,OTH
E02001713,2,14,WBI
E02001719,1,27,WBI
E02001709,2,30,WBI
E02001732,1,24,WBI
E02001713,2,42,WBI
E02001709,1,46,WBI
E02001735,1,39,WBI
E02001711,1,50,WBI
E02001727,1,21,WBI
E02001728,1,58,WBI
E02001728,1,60,WBI
E02001731,1,35,MIX
E02001723,1,7,WBI
E02001727,1,27,WBI
E02001720,2,23,WBI
E02001720,1,18,WBI
E02001726,2,58,WBI
E02001731,2,35,WBI
E02001715,1,81,WBI
E02001725,1,20,WBI
E02001712,2,4,WBI
E02001727,1,48,WBI
E02001711,2,14,WBI
E02001718,2,63,WBI
E02001734,1,67,WBI
E02001714,1,60,WBI
E02001729,2,8,PAK
E02001725,1,25,WBI
E02001729,1,21,CHI
E02001715,2,65,BLA
E02001709,2,23,WBI
E02001725,2,54,WBI
E02001715,1,15,WBI
E02001713,2,12,WBI
E02001713,2,77,WBI
E02001719,1,52,WBI
E02001708,2,68,WBI
E02001726,2,6,WBI
E02006893,1,4,WBI
E02001735,1,8,WBI
E02001724,1,32,WBI
E02001710,2,1,WBI
E02001730,1,79,WBI
E02001713,1,52,WBI
E02001713,1,62,WBI
E02001728,1,70,WBI
E02001710,2,22,WBI
E02001732,2,34,WBI
E02006893,1,78,WBI
E02006893,1,24,WBI
E02001733,1,5,WBI
E02001728,1,81,WBI
E02001727,2,86,WBI
E02001718,1,33,WBI
E02001722,1,52,WBI
E02001727,2,35,WBI
E02001721,2,34,WBI
E02001718,1,53,WBI
E02001729,1,3,MIX
E02001733,1,7,WBI
E02001726,2,19,PAK
E02001723,1,50,MIX
E02001731,2,19,WBI
E02001710,2,40,WBI
E02001725,1,22,WBI
E02001728,2,20,WBI
E02001721,1,19,WBI
E02001735,1,85,WBI
E02001718,2,7,WBI
E02001727,1,12,WBI
E02001710,2,20,WBI
E02001729,2,24,WHO
E02001722,1,22,WBI
E02001713,1,28,WBI
E02001731,1,40,BLA
E02001714,2,20,WBI
E02001727,2,41,WBI
E02001714,2,51,WBI
E02001736,2,6,WBI
E02001729,2,15,WBI
E02001721,2,86,WBI
E02001736,1,6,BAN
E02001721,1,39,WBI
E02001711,1,42,WBI
E02001728,1,1,WBI
E02001736,2,64,OAS
E02006893,1,48,WBI
E02001709,1,70,WBI
E02001728,2,76,WBI
E02001714,1,59,WBI
E02001714,2,86,WBI
E02001733,1,15,WBI
E02001730,2,22,WBI
E02001722,1,41,WBI
E02001722,1,1,WBI
E02001711,2,52,WBI
E02001708,1,33,WBI
E02001723,2,20,WBI
E02001720,1,21,BLA
E02001720,1,77,WBI
E02001708,1,2,WBI
E02001731,2,33,WHO
E02001731,2,23,WBI
E02001735,1,13,WBI
E02001724,1,19,WBI
E02001721,2,6,WBI
E02001718,2,44,WBI
E02001722,2,76,WBI
E02001727,2,29,WBI
E02001725,2,39,WBI
E02001710,2,26,WBI
E02001731,2,27,WBI
E02001727,1,38,WBI
E02001720,2,21,WBI
E02001709,1,10,WBI
E02001731,2,37,WBI
E02001725,1,1,OAS
E02001713,2,34,WBI
E02001719,1,46,WBI
E02001737,1,32,WBI
E02001713,2,56,WBI
E02001723,2,44,WBI
E02001735,2,51,WBI
E02001725,1,39,WBI
E02001733,1,26,WBI
E02001723,1,52,WBI
E02001731,1,26,WBI
E02001721,2,74,WBI
E02001730,2,45,WHO
E02001719,1,23,WBI
E02001715,1,35,WBI
E02001711,2,35,WBI
E02001715,1,20,WHO
E02001728,2,63,WBI
E02001728,1,52,WBI
E02001735,2,35,WBI
E02001736,2,33,BLA
E02001729,2,4,BAN
E02001737,1,57,WHO
E02001708,1,23,WBI
E02001715,1,86,WBI
E02001722,1,6,WBI
E02001719,2,30,PAK
E02001713,2,31,WBI
E02001726,1,41,WBI
E02001710,1,33,WBI
E02001727,2,55,WBI
E02001710,1,61,WBI
E02001708,2,42,WBI
E02001737,1,57,WBI
E02001729,2,13,PAK
E02001728,1,48,WBI
E02001731,2,62,BLA
E02001729,1,14,WBI
E02001736,1,24,WBI
E02001733,2,67,WBI
E02001736,2,58,BAN
E02001718,1,29,WBI
E02001722,1,16,WBI
E02001736,2,24,BAN
E02001719,2,25,WBI
E02001722,2,61,WBI
E02001729,1,47,OTH
E02001715,2,16,CHI
E02001730,1,22,BLA
E02001721,2,61,WBI
E02001736,2,63,WBI
E02001710,1,43,WBI
E02001709,2,37,WBI
E02006893,1,72,WBI
E02001726,1,48,WBI
E02001715,1,40,WBI
E02001737,2,54,WBI
E02001722,1,45,WBI
E02001720,1,22,WBI
E02001727,2,73,WBI
E02001736,2,39,WBI
E02001732,1,20,WBI
E02001726,2,5,WBI
E02001726,1,63,WBI
E02001715,2,24,WBI
E02001719,2,16,PAK
E02001708,2,57,WBI
E02001710,2,61,WBI
E02001726,1,63,WBI
E02001725,1,46,WBI
E02001723,2,67,PAK
E02001736,1,22,OAS
E02001727,1,66,WBI
E02001712,1,65,WBI
E02001709,1,25,WBI
E02001713,2,59,WBI
E02001725,2,28,MIX
E02001719,2,70,WBI
E02001714,2,13,WBI
E02001724,1,22,WBI
E02001734,1,59,WBI
E02001733,1,10,WBI
E02001724,2,23,WBI
E02001721,2,67,WBI
E02001712,2,51,WBI
E02001736,2,52,PAK
E02001728,2,34,WBI
E02001732,2,7,WBI
E02001708,1,6,WBI
E02001724,1,25,WBI
E02001736,1,34,PAK
E02006893,2,69,WBI
E02001731,1,26,WBI
E02001736,1,34,BLA
E02001733,2,55,CHI
E02001725,1,82,WBI
E02001736,1,5,WBI
E02001724,1,20,WBI
E02001737,2,44,WBI
E02001714,2,71,WBI
E02001722,2,46,WBI
E02006893,1,67,WBI
E02001708,2,28,WBI
E02001724,1,22,WBI
E02001735,1,66,WBI
E02001714,1,7,WBI
E02001730,2,24,WBI
E02001708,2,60,WBI
E02001737,1,6,WBI
E02001714,1,56,WBI
E02001725,2,22,WBI
E02001719,2,15,WBI
E02001711,1,3,WBI
E02001735,1,64,WBI
E02001737,2,2,WBI
E02001711,1,66,WBI
E02001733,2,76,WHO
E02001713,1,29,PAK
E02001736,2,40,WBI
E02001737,2,56,WBI
E02001718,2,17,WBI
E02001710,2,43,WBI
E02001736,2,44,WBI
E02001730,2,20,WBI
E02001710,1,11,WBI
E02001728,2,9,WBI
E02001724,1,21,WBI
E02001719,1,30,WBI
E02001711,2,37,WBI
E02001722,1,60,WBI
E02001712,1,57,WBI
E02001724,1,24,MIX
E02001724,2,23,WHO
E02006893,2,14,WBI
E02001737,1,47,WBI
E02006893,1,49,WBI
E02001710,1,29,WBI
E02001730,1,24,WBI
E02001736,2,28,OAS
E02001714,2,59,WBI
E02001727,2,16,WBI
E02001731,2,36,BLA
E02001715,1,1,WHO
E02001712,2,20,WBI
E02001709,1,52,WBI
E02001720,2,24,WBI
E02001720,2,21,CHI
E02001733,2,8,WBI
E02001731,1,39,BAN
E02001722,2,2,WBI
E02001727,1,24,WBI
E02001719,1,21,WBI
E02001710,1,11,BLA
E02006893,2,40,WBI
E02001711,2,24,WBI
E02001736,2,35,PAK
E02001722,2,57,WBI
E02001723,1,16,WBI
E02001736,2,45,WBI
E02001714,2,74,WBI
E02001726,2,3,WBI
E02001718,2,19,WBI
E02001724,2,61,WBI
E02001730,1,28,WBI
E02001720,1,52,WHO
E02006893,1,9,WBI
E02001737,2,2,WBI
E02001724,1,21,WBI
E02001720,2,21,CHI
E02001721,1,34,WBI
E02001714,1,64,WBI
E02001720,2,21,WBI
E02001708,1,5,WBI
E02001710,2,72,WBI
E02001736,1,2,WBI
E02001731,2,83,WBI
E02001721,2,39,WBI
E02001734,1,44,WBI
E02001737,2,58,WBI
E02001721,2,37,WBI
E02001733,1,35,WBI
E02001711,1,47,WBI
E02001728,2,56,WBI
E02001730,1,22,WBI
E02001719,2,66,WBI
E02001727,1,83,WBI
E02001731,1,46,BLA
E02001710,2,10,WBI
E02006893,1,2,WBI
E02001713,1,18,WBI
E02001721,2,6,WBI
E02001714,2,41,WBI
E02001730,1,35,WBI
E02001715,1,59,WBI
E02001722,1,48,WBI
E02001733,1,23,WBI
E02001722,2,11,WBI
E02001708,2,50,WBI
E02001711,2,47,WBI
E02001724,2,25,WBI
E02001713,2,85,WBI
E02001711,2,61,WBI
E02001715,1,12,WBI
E02001734,1,51,WBI
E02001719,2,52,BAN
E02001724,2,29,WBI
E02001709,1,58,WBI
E02001721,1,21,WBI
E02001723,2,4,MIX
E02001719,2,4,WBI
E02001725,2,29,IND
E02006893,2,39,WBI
E02001724,1,27,WBI
E02001730,2,1,WBI
E02001728,1,54,WBI
E02001734,1,45,WBI
E02001721,1,31,WBI
E02001726,1,43,WBI
E02001728,1,16,WBI
E02001729,2,59,PAK
E02001727,2,46,WBI
E02001720,1,18,CHI
E02001730,2,25,WBI
E02001735,1,5,WBI
E02001733,2,12,WBI
E02001722,1,14,WBI
E02001727,2,64,PAK
E02001711,2,50,WBI
E02006893,1,54,WBI
E02006893,1,31,WBI
E02001715,2,5,WBI
E02001726,1,28,WBI
E02001710,1,64,WBI
E02001715,1,59,WBI
E02001729,1,12,WHO
E02001726,1,29,WBI
E02001718,1,12,WBI
E02001718,2,54,WBI
E02006893,2,49,WBI
E02001713,2,18,WBI
E02001727,1,49,WBI
E02001715,1,43,WBI
E02001714,2,45,WBI
E02006893,2,40,WBI
E02001728,2,49,WBI
E02001729,2,25,WHO
E02001715,2,78,WBI
E02001735,2,4,WBI
E02001712,1,40,WBI
E02001711,2,34,WBI
E02001715,1,54,WBI
E02001730,2,21,WBI
E02001708,1,38,WBI
E02001712,1,3,WBI
E02001714,1,53,WBI
E02001709,1,74,WBI
E02001731,1,6,WBI
E02001719,2,42,WBI
E02001712,2,31,WBI
E02001725,2,27,WBI
E02001712,2,60,WBI
E02001719,2,16,WBI
E02001727,2,12,WBI
E02001735,2,27,WBI
E02001729,1,22,WBI
E02001723,1,50,WBI
E02001729,2,77,WBI
E02001729,2,18,PAK
E02001727,2,54,WBI
E02001710,2,31,WBI
E02001713,1,70,MIX
E02001719,1,42,WBI
E02001728,2,33,WBI
E02001733,2,46,WBI
E02001721,1,11,WBI
E02001735,1,69,WBI
E02001709,2,47,WBI
E02001709,1,86,WBI
E02001720,2,20,WBI
E02001720,2,20,WBI
E02001721,1,2,WBI
E02001708,2,33,WBI
E02001708,2,43,WBI
E02001725,1,21,WBI
E02001726,2,3,WBI
E02001730,2,20,WBI
E02001730,1,28,WBI
E02001720,1,21,WBI
E02006893,2,79,WBI
E02001713,1,53,WBI
E02001721,1,29,WBI
E02001730,1,25,WBI
E02001729,1,41,WBI
E02001720,2,46,WBI
E02001727,2,11,WBI
E02001710,2,82,WBI
E02001713,1,27,WHO
E02001731,1,55,WBI
E02001723,2,47,BLC
E02001735,1,61,WBI
E02001709,2,27,WBI
E02001724,2,20,WBI
E02001715,1,31,WBI
E02001723,1,37,WBI
E02001736,1,80,BAN
E02001736,2,49,BAN
E02001734,1,1,WBI
E02001708,2,36,WBI
E02001731,1,36,CHI
E02001724,2,30,WBI
E02001709,2,12,WBI
E02001710,2,23,OAS
E02001737,2,75,WBI
E02001708,1,58,WBI
E02001721,1,70,WBI
E02001729,2,8,WBI
E02001733,1,45,WBI
E02001708,2,31,WHO
E02001721,2,23,WBI
E02001723,2,20,WBI
E02001731,1,28,WBI
E02001728,1,29,WBI
E02001733,1,22,WBI
E02001709,1,50,OTH
E02001709,1,20,WBI
E02001725,1,36,WBI
E02001736,2,33,WBI
E02001736,1,53,WBI
E02001712,2,41,WBI
E02001713,1,44,WBI
E02001730,1,33,WBI
E02001720,2,59,WBI
E02001733,1,37,WBI
E02001712,1,29,WBI
E02001724,1,86,WBI
E02001713,2,49,WBI
E02001711,1,52,WBI
E02001726,1,18,WBI
E02001724,1,21,WBI
E02001736,1,27,WBI
E02001709,2,86,WBI
E02001719,2,71,WBI
E02001709,2,86,WBI
E02001709,2,64,WBI
E02001708,2,77,OTH
E02001720,1,23,CHI
E02001733,2,25,WBI
E02001732,2,44,WBI
E02001726,2,50,WBI
E02001727,2,23,WBI
E02001708,2,86,OTH
E02006893,2,46,WBI
E02001731,1,20,WBI
E02001721,1,63,WBI
E02006893,1,17,WBI
E02001720,1,24,WBI
E02001714,1,29,WBI
E02001722,2,32,WBI
E02001712,1,40,WBI
E02001731,1,23,WBI
E02001724,1,23,WBI
E02001724,2,23,WBI
E02001719,1,18,WBI
E02001725,1,37,CHI
E02001709,2,57,WBI
E02001733,1,16,WBI
E02001712,2,32,WBI
E02001722,2,13,WBI
E02001715,1,34,OAS
E02001726,1,48,OAS
E02001724,1,71,WBI
E02001725,1,27,WBI
E02001714,1,20,WBI
E02006893,2,76,WBI
E02001732,2,2,WBI
E02001725,1,20,WBI
E02001718,2,44,WBI
E02001732,2,55,WBI
E02001720,1,22,WBI
E02001711,2,42,WBI
E02001710,1,63,WBI
E02001721,2,11,WBI
E02001726,1,9,WBI
E02001715,1,62,WBI
E02001736,2,8,WBI
E02001728,1,55,WBI
E02001708,1,14,WBI
E02001714,1,20,WBI
E02001735,1,14,WBI
E02001732,1,17,WBI
E02001708,1,83,WBI
E02001721,1,25,WBI
E02001733,2,30,WBI
E02001727,1,57,WBI
E02001734,1,59,WBI
E02001719,2,42,WBI
E02001723,2,57,WBI
E02001732,2,53,WBI
E02001714,1,67,WBI
E02001715,1,31,WBI
E02001715,1,39,WBI
E02001720,2,22,WBI
E02001734,1,46,WBI
E02001736,1,34,WBI
E02001710,2,54,WBI
E02001732,1,24,WBI
E02001710,1,42,WBI
E02001734,2,18,WBI
E02001733,1,30,WBI
E02001709,2,15,WBI
E02001708,2,33,WBI
E02001719,1,62,WBI
E02001722,1,82,WBI
E02001733,2,29,WBI
E02001713,2,48,WBI
E02001737,2,32,WBI
E02001714,2,46,WBI
E02001730,2,24,WBI
E02001719,1,43,IND
E02001709,1,58,WBI
E02001729,1,46,PAK
E02001729,1,5,BAN
E02001733,1,14,WBI
E02001731,2,20,WBI
E02001726,2,20,WBI
E02001730,2,23,WBI
E02001723,2,65,WBI
E02001708,2,18,WBI
E02001733,2,3,WBI
E02001715,2,38,WBI
E02001713,2,19,WBI
E02001714,2,1,WBI
E02001723,2,9,WBI
E02001727,1,30,WBI
E02001715,1,27,WBI
E02001734,2,17,IND
E02001725,2,3,WHO
E02001724,2,40,WBI
E02001715,1,26,WBI
E02001726,1,35,WBI
E02006893,1,79,WBI
